nombre,genero,tipo,padre,activa,hoyos,par_decl,par_suma,flags,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,revision_juanjo
Hacienda Chicureo C.G. - Hacienda Chicureo (DAMAS),D,18h,,SI,18,72,72,,4,4,5,3,4,3,5,4,4,4,4,3,4,3,5,4,4,5,
Hacienda Chicureo C.G. - Hacienda Chicureo (VARONES),V,18h,,SI,18,72,72,,4,4,5,3,4,3,5,4,4,4,4,3,4,3,5,4,4,5,
Hacienda Chicureo Golf Club,X,18h,,SI,18,72,72,,4,3,5,4,4,3,4,5,4,4,3,3,4,4,5,4,4,5,
Hacienda Santa Martina - Cancha Oficial (DAMAS),D,18h,,SI,18,72,72,,4,5,4,3,4,5,3,4,4,4,5,3,4,4,4,3,4,5,
Hacienda Santa Martina - Cancha Oficial (VARONES),V,18h,,SI,18,72,72,,4,5,4,3,4,5,3,4,4,4,5,3,4,4,4,3,4,5,
Hacienda Santa Martina - Cancha Verde (DAMAS),D,18h,,SI,18,72,72,,4,5,3,4,4,4,3,4,5,4,5,3,4,4,4,3,4,5,
Hacienda Santa Martina - Cancha Verde (VARONES),V,18h,,SI,18,72,72,,4,5,3,4,4,4,3,4,5,4,5,3,4,4,4,3,4,5,
Hurlingham Club,X,18h,,SI,18,71,71,,4,3,5,4,4,3,3,5,3,4,3,5,5,4,3,4,5,4,
Jockey Club Argentina,X,18h,,SI,18,72,72,,4,3,5,4,4,3,4,5,4,4,3,5,4,4,3,4,5,4,
La Planicie Golf Club,X,18h,,SI,18,72,72,,4,3,5,4,4,3,4,5,4,4,3,5,4,4,3,4,5,4,
Los Inkas Golf Club,X,18h,,SI,18,72,72,,4,3,5,4,4,3,4,5,4,4,3,5,4,4,3,4,5,4,
Los Lagartos Country Club,X,18h,,SI,18,72,72,,4,3,5,4,4,3,4,5,4,4,3,5,4,4,3,4,5,4,
Magallanes G.C. - Magallanes (DAMAS),D,18h,,SI,18,70,70,,4,4,3,4,5,4,4,3,4,4,4,3,4,5,4,4,3,4,
Magallanes G.C. - Magallanes (VARONES),V,18h,,SI,18,70,70,,4,4,3,4,5,4,4,3,4,4,4,3,4,5,4,4,3,4,
Marbella C.C. - Andes Pro - Pacifico Norte (DAMAS),D,18h,,SI,18,72,72,,4,4,3,5,4,3,5,4,4,4,5,4,4,3,4,3,4,5,
Marbella C.C. - Andes Pro - Pacifico Norte (VARONES),V,18h,,SI,18,72,72,,4,4,3,5,4,3,5,4,4,4,5,4,4,3,4,3,4,5,
Marbella C.C. - Pacifico Norte - Sur (DAMAS),D,18h,,SI,18,72,72,,4,5,4,4,3,4,3,4,5,3,4,4,3,4,5,4,5,4,
Marbella C.C. - Pacifico Norte - Sur (VARONES),V,18h,,SI,18,72,72,,4,5,4,4,3,4,3,4,5,3,4,4,3,4,5,4,5,4,
Marbella C.C. - Pacifico Sur - Andes Pro (DAMAS),D,18h,,SI,18,72,72,,3,4,4,3,4,5,4,5,4,4,4,3,5,4,3,5,4,4,
Marbella C.C. - Pacifico Sur - Andes Pro (VARONES),V,18h,,SI,18,72,72,,3,4,4,3,4,5,4,5,4,4,4,3,5,4,3,5,4,4,
Marina Golf Rapel - Marina Rapel (DAMAS),D,18h,,SI,18,72,72,,4,3,3,5,4,4,4,4,5,4,3,3,5,4,4,4,4,5,
Marina Golf Rapel - Marina Rapel (VARONES),V,18h,,SI,18,72,72,,4,3,3,5,4,4,4,4,5,4,3,3,5,4,4,4,4,5,
Nevados de Villarica - Nevados de Villarica (DAMAS),D,18h,,SI,18,72,72,,4,4,5,4,3,4,3,5,4,4,5,4,5,3,3,4,4,4,
Nevados de Villarica - Nevados de Villarica (VARONES),V,18h,,SI,18,72,72,,4,4,5,4,3,4,3,5,4,4,5,4,5,3,3,4,4,4,
Nevados de Villarrica,X,18h,,SI,18,72,72,,4,3,5,4,4,3,4,5,4,4,3,5,4,4,3,4,5,4,
Nordelta Golf Club,X,18h,,SI,18,73,73,,4,3,5,5,3,4,4,5,4,5,4,3,4,4,3,4,5,4,
Nueva Frontera C.C. - Nueva Frontera (DAMAS),D,18h,,SI,18,72,72,,4,4,5,3,4,4,5,3,4,4,4,5,3,4,4,5,3,4,
Nueva Frontera C.C. - Nueva Frontera (VARONES),V,18h,,SI,18,72,72,,4,4,5,3,4,4,5,3,4,4,4,5,3,4,4,5,3,4,
Olivos Golf Club,X,18h,,SI,18,72,72,,3,5,5,3,4,3,4,5,4,4,3,5,4,4,3,4,5,4,
Paico Alto Club de Golf,X,18h,,SI,18,72,72,,4,3,5,4,4,3,4,5,4,4,3,5,4,4,3,4,5,4,
Patagonia Virgin Frutillar,X,18h,,SI,18,72,72,,4,4,3,4,4,4,3,5,5,4,4,3,4,4,3,4,5,5,
Patagonia Virgin Frutillar - Patagonia Virgin (DAMAS),D,18h,,SI,18,72,72,,4,4,3,5,4,4,3,4,5,4,4,3,5,4,4,3,4,5,
Patagonia Virgin Frutillar - Patagonia Virgin (VARONES),V,18h,,SI,18,72,72,,4,4,3,5,4,4,3,4,5,4,4,3,5,4,4,3,4,5,
